"","State","Number.of.districts","Minimum","Maximum","Mean","year"
"309","Washington","305","129,000","489,743,000","25,612,908",2000
"310","West Virginia","55","8,246,000","240,477,000","40,792,055",2000
"311","Wisconsin","430","704,000","1,010,289,000","19,030,816",2000
"312","Wyoming","48","1,533,000","92,171,000","16,040,063",2000
"313","National","16,213","$0 ","$14,468,373,000 ","$25,777,978 ",2001
"314","Alabama","128","5,128,000","409,068,000","39,734,727",2001
"315","Alaska","53","988,000","434,059,000","26,468,660",2001
"316","Arizona","432","0","444,292,000","14,098,632",2001
"317","Arkansas","324","754,000","204,040,000","9,110,114",2001
"318","California","1,092","4,000","6,065,112,000","47,694,634",2001
"319","Colorado","195","229,000","786,341,000","29,374,185",2001
"320","Connecticut","188","0","356,695,000","31,949,707",2001
"321","Delaware","26","800,000","217,508,000","45,908,038",2001
"322","District of Columbia","1","1,026,146,000","1,026,146,000","1,026,146,000",2001
"323","Florida","67","7,473,000","2,920,678,000","274,468,567",2001
"324","Georgia","196","1,576,000","898,469,000","60,478,571",2001
"325","Hawaii","1","1,363,164,000","1,363,164,000","1,363,164,000",2001
"326","Idaho","113","66,000","190,286,000","13,649,690",2001
"327","Illinois","1,055","0","4,015,816,000","18,329,460",2001
"328","Indiana","317","166,000","451,634,000","28,365,543",2001
"329","Iowa","389","944,000","287,835,000","10,826,460",2001
"330","Kansas","304","762,000","334,781,000","11,483,648",2001
"331","Kentucky","176","1,280,000","716,835,000","24,719,250",2001
"332","Louisiana","66","8,883,000","510,232,000","74,846,879",2001
"333","Maine","292","7,000","79,718,000","6,707,692",2001
"334","Maryland","24","25,715,000","1,453,226,000","332,556,750",2001
"335","Massachusetts","392","0","884,405,000","26,969,740",2001
"336","Michigan","794","59,000","1,624,805,000","22,133,200",2001
"337","Minnesota","475","0","685,514,000","17,501,215",2001
"338","Mississippi","152","1,898,000","214,874,000","19,278,901",2001
"339","Missouri","524","434,000","497,125,000","13,550,926",2001
"340","Montana","474","8,000","57,975,000","2,382,063",2001
"341","Nebraska","581","2,000","334,507,000","4,035,394",2001
"342","Nevada","17","1,352,000","1,851,678,000","158,815,647",2001
"343","New Hampshire","176","20,000","118,379,000","10,204,790",2001
"344","New Jersey","663","79,000","671,859,000","26,013,941",2001
"345","New Mexico","89","1,243,000","581,863,000","26,089,730",2001
"346","New York","704","0","14,468,373,000","54,221,365",2001
"347","North Carolina","207","132,000","991,075,000","47,857,314",2001
"348","North Dakota","257","47,000","87,313,000","3,170,576",2001
"349","Ohio","793","0","718,537,000","20,532,480",2001
"350","Oklahoma","588","92,000","308,253,000","7,305,903",2001
"351","Oregon","218","141,000","471,090,000","21,632,771",2001
"352","Pennsylvania","666","0","1,960,130,000","28,027,811",2001
"353","Rhode Island","36","2,472,000","276,976,000","41,781,250",2001
"354","South Carolina","98","765,000","474,055,000","56,046,316",2001
"355","South Dakota","176","151,000","135,815,000","5,437,295",2001
"356","Tennessee","138","1,876,000","963,968,000","44,678,703",2001
"357","Texas","1,224","65,000","1,812,344,000","27,300,493",2001
"358","Utah","40","2,637,000","387,468,000","66,826,000",2001
"359","Vermont","329","48,000","36,994,000","3,971,164",2001
"360","Virginia","134","3,108,000","1,615,620,000","73,602,351",2001
"361","Washington","296","129,000","504,858,000","27,115,993",2001
"362","West Virginia","55","8,288,000","251,161,000","42,001,782",2001
"363","Wisconsin","430","734,000","1,007,365,000","19,941,405",2001
"364","Wyoming","48","1,639,000","95,782,000","16,415,604",2001
"365","National","16,258","$0 ","$14,503,641,000 ","$27,324,330 ",2002
"366","Alabama","128","5,202,000","447,067,000","40,217,352",2002
"367","Alaska","53","513,000","482,528,000","28,742,019",2002
"368","Arizona","487","2,000","447,424,000","12,984,472",2002
"369","Arkansas","326","698,000","226,118,000","9,472,856",2002
"370","California","1,092","4,000","6,686,318,000","51,707,166",2002
"371","Colorado","199","48,000","802,661,000","31,342,422",2002
"372","Connecticut","189","0","347,815,000","34,365,529",2002
"373","Delaware","31","0","214,986,000","41,120,452",2002
"374","District of Columbia","1","1,145,684,000","1,145,684,000","1,145,684,000",2002
"375","Florida","67","7,180,000","2,930,784,000","284,344,015",2002
"376","Georgia","196","1,858,000","1,008,202,000","64,746,648",2002
"377","Hawaii","1","1,436,637,000","1,436,637,000","1,436,637,000",2002
"378","Idaho","114","96,000","200,068,000","14,725,096",2002
"379","Illinois","1,034","0","3,989,543,000","19,886,848",2002
"380","Indiana","317","43,000","447,727,000","29,505,038",2002
"381","Iowa","386","970,000","314,695,000","11,446,212",2002
"382","Kansas","303","662,000","382,821,000","12,180,908",2002
"383","Kentucky","176","1,330,000","773,265,000","25,804,943",2002
"384","Louisiana","66","9,432,000","532,903,000","80,276,773",2002
"385","Maine","293","1,000","84,721,000","7,020,553",2002
"386","Maryland","24","28,186,000","1,605,083,000","357,018,583",2002
"387","Massachusetts","384","0","958,827,000","29,968,297",2002
"388","Michigan","798","75,000","1,919,787,000","23,672,598",2002
"389","Minnesota","484","0","661,446,000","18,220,089",2002
